id,name,spec,gearscore,dps,percent,timestamp,duration,isDead,weird,arkPassiveActive,localPlayer,hasSpec
1892,Artist #7,Artist,1623.3299560546875,231652,0.002859320192464593,1722033003353,770545,False,True,False,False,False
1892,Arcanist #5,Arcanist,1620.0,9738813,0.1202078318405914,1722033003353,770545,False,True,False,False,False
1892,Sharpshooter #2,Sharpshooter,1620.5,18476799,0.22806228512082607,1722033003353,770545,False,True,False,False,False
1892,Souleater #1,Souleater,1620.8299560546875,22680017,0.2799433226285128,1722033003353,770545,False,True,False,True,False
1892,Artist #8,Artist,1620.0,98737,0.001218727651146446,1722033003353,770545,False,True,False,False,False
1892,Sorceress #4,Sorceress,1622.5,9861106,0.1217173152221166,1722033003353,770545,False,True,False,False,False
1892,Gunlancer #3,Gunlancer,1620.0,11506875,0.14203132301756952,1722033003353,770545,False,True,False,False,False
1892,Gunslinger #6,Gunslinger,1620.1600341796875,8422458,0.10395983729726034,1722033003353,770545,False,True,False,False,False
1911,Wardancer #5,Wardancer,1620.0,12371363,0.14010391008788767,1726461013546,621663,False,True,False,True,False
1911,Wardancer #6,Wardancer,1620.0,10866970,0.12306687531582193,1726461013546,621663,False,True,False,False,False
1911,Paladin #8,Paladin,1630.0,429318,0.004861964722166164,1726461013546,621663,False,True,False,False,False
1911,Slayer #2,Slayer,1633.0,16308713,0.1846938336383117,1726461013546,621663,False,True,False,False,False
1911,Paladin #7,Paladin,1620.3299560546875,555600,0.006292090244610104,1726461013546,621663,False,True,False,False,False
1911,Sorceress #4,Sorceress,1620.0,13471673,0.15256476289034798,1726461013546,621663,False,True,False,False,False
1911,Aeromancer #1,Aeromancer,1629.1600341796875,20203177,0.22879807939494462,1726461013546,621663,False,True,False,False,False
1911,Souleater #3,Souleater,1620.8299560546875,14094523,0.15961844973134043,1726461013546,621663,False,True,False,False,False
3421,Breaker #2,Breaker,1620.0,24935770,0.2775906388662317,1720833534874,682145,False,True,False,False,False
3421,Soulfist #3,Soulfist,1631.6600341796875,14315327,0.15936146216896516,1720833534874,682145,False,True,False,False,False
3421,Bard #7,Bard,1628.3299560546875,442277,0.004923527726869488,1720833534874,682145,False,True,False,False,False
3421,Gunlancer #6,Gunlancer,1622.5,1186795,0.013211670714529748,1720833534874,682145,False,True,False,True,False
3421,Paladin #8,Paladin,1622.3299560546875,117484,0.0013078584947070159,1720833534874,682145,False,True,False,False,False
3421,Slayer #1,Slayer,1622.5,28374495,0.3158713043373715,1720833534874,682145,False,True,False,False,False
